TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-19 07:40:12,1771486812551,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/tours/81/pairings,POST,nxtPid=32&nxtPtourId=81,201,4pv9k-1771486812551-6f97c341413b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/tours/[tourId]/pairings,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,2240,iad1,289,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDF6HEX9WA3A7FHBGT2D1Z,NrtzGLjjEslc,1
2026-02-19 07:40:10,1771486810652,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/tours,POST,nxtPid=32,201,42zlw-1771486810652-9bca86347447,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/tours,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,1455,iad1,272,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDF4JQ8WRY7HS9BH38E384,6NEOzttzLblE,1
2026-02-19 07:40:04,1771486804537,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32,GET,nxtPid=32,200,8ckdw-1771486804537-35287836a4df,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id],rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,676,iad1,260,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEYVG5VYJNE9AK97XSV8J,hOaeE173WsGj,1
2026-02-19 07:40:04,1771486804533,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/tours/80/matches,GET,nxtPid=32&nxtPtourId=80,200,xhc9l-1771486804533-bf3986dfe7ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/tours/[tourId]/matches,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,694,iad1,259,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEYV4C63MKQRB6VJQCCK9,dd1NzN4czzis,1
2026-02-19 07:40:04,1771486804533,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/tours,GET,nxtPid=32,200,llg4b-1771486804533-a74ee9596906,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/tours,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,723,iad1,283,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEYT20E8NVQ4N3G1EPJPA,qvzOQD0UPelZ,1
2026-02-19 07:40:04,1771486804533,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/leaderboard,GET,nxtPid=32,200,fwhcd-1771486804533-7bd77efc919d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/leaderboard,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,1446,iad1,267,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEYVQM09GTFBPSNCC0A2A,SdsJpHG74Jq4,1
2026-02-19 07:40:03,1771486803622,rep-chess-tg-app-zgwj.vercel.app/admin/tournaments/32/tours/80,GET,nxtPid=32&nxtPtourId=80,200,h8nkp-1771486803622-8178e68b1252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/admin/tournaments/[id]/tours/[tourId],rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,413,iad1,283,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEXXT0AMA4TVXX1ZG2XKH,ZbAfwsVKkSOn,1
2026-02-19 07:39:56,1771486796703,rep-chess-tg-app-zgwj.vercel.app/api/tournaments/32/leaderboard,GET,nxtPid=32,200,8jqq7-1771486796703-2b10db86bf5c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",,production,main,MISS,function,/api/tournaments/[id]/leaderboard,rep-chess-tg-app-zgwj.vercel.app,rep-chess-tg-app-zgwj-arm27kg4x-dmitryekimyans-projects.vercel.app,dpl_EbNa9symscNMUPHhm8M3pBehsUk7,758,iad1,315,2048,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,01KHTDEPYA4GR23H7J3PZ7FX37,uKUWFNdLib1p,1
2026-02-19 07:39:52,1771486792753,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app/,GET,,200,vd7gt-1771486792753-25fc4a980231,vercel-screenshot/1.0,,production,main,HIT,static,/,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,7,sfo1,,,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,,,
2026-02-19 07:39:52,1771486792737,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app/,GET,,200,x8xt2-1771486792737-b79fd976d63b,vercel-screenshot/1.0,,production,main,HIT,static,/,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,rep-chess-tg-app-zgwj-46hvug471-dmitryekimyans-projects.vercel.app,dpl_G21ckYr7jzqVUPoxVMuN4R4u9Qfr,51,sfo1,,,,prj_0yLHQMiPgbEVxj7Lxilg4OfigUTu,,,,,
